totally 181724 train examples
starting training from scratch with gpu 0,1,2,3
learning rate decay at epoch[80, 160]
Epoch[0] Batch [20]	Speed: 279.55 samples/sec	accuracy=0.767857
Epoch[0] Batch [40]	Speed: 626.32 samples/sec	accuracy=0.840430
Epoch[0] Batch [60]	Speed: 779.02 samples/sec	accuracy=0.860938
Epoch[0] Batch [80]	Speed: 802.73 samples/sec	accuracy=0.867188
Epoch[0] Batch [100]	Speed: 773.95 samples/sec	accuracy=0.898828
Epoch[0] Batch [120]	Speed: 794.66 samples/sec	accuracy=0.911914
Epoch[0] Batch [140]	Speed: 818.00 samples/sec	accuracy=0.916211
Epoch[0] Batch [160]	Speed: 270.98 samples/sec	accuracy=0.918945
Epoch[0] Batch [180]	Speed: 753.13 samples/sec	accuracy=0.930273
Epoch[0] Batch [200]	Speed: 800.76 samples/sec	accuracy=0.930664
Epoch[0] Batch [220]	Speed: 819.73 samples/sec	accuracy=0.937695
Epoch[0] Batch [240]	Speed: 785.17 samples/sec	accuracy=0.945117
Epoch[0] Batch [260]	Speed: 257.35 samples/sec	accuracy=0.939648
Epoch[0] Batch [280]	Speed: 797.55 samples/sec	accuracy=0.946484
Epoch[0] Batch [300]	Speed: 770.53 samples/sec	accuracy=0.952930
Epoch[0] Batch [320]	Speed: 819.07 samples/sec	accuracy=0.947070
Epoch[0] Batch [340]	Speed: 753.40 samples/sec	accuracy=0.945312
Epoch[0] Batch [360]	Speed: 298.88 samples/sec	accuracy=0.956641
Epoch[0] Batch [380]	Speed: 751.18 samples/sec	accuracy=0.943164
Epoch[0] Batch [400]	Speed: 836.70 samples/sec	accuracy=0.946875
Epoch[0] Batch [420]	Speed: 803.97 samples/sec	accuracy=0.951172
Epoch[0] Batch [440]	Speed: 825.66 samples/sec	accuracy=0.956445
Epoch[0] Batch [460]	Speed: 357.36 samples/sec	accuracy=0.960742
Epoch[0] Batch [480]	Speed: 770.74 samples/sec	accuracy=0.958984
Epoch[0] Batch [500]	Speed: 366.46 samples/sec	accuracy=0.961523
Epoch[0] Batch [520]	Speed: 796.57 samples/sec	accuracy=0.955859
Epoch[0] Batch [540]	Speed: 790.05 samples/sec	accuracy=0.965430
Epoch[0] Batch [560]	Speed: 817.21 samples/sec	accuracy=0.964258
Epoch[0] Batch [580]	Speed: 861.77 samples/sec	accuracy=0.963672
Epoch[0] Batch [600]	Speed: 287.76 samples/sec	accuracy=0.965039
Epoch[0] Batch [620]	Speed: 809.43 samples/sec	accuracy=0.964844
Epoch[0] Batch [640]	Speed: 831.20 samples/sec	accuracy=0.965234
Epoch[0] Batch [660]	Speed: 813.55 samples/sec	accuracy=0.966016
